stratum	scorer	n	n_scored	coverage	n_pos	n_neg	prevalence	auroc	auroc_lo	auroc_hi	auprc	auprc_lo	auprc_hi	spearman_rho	spearman_p	n_spearman
Missense	kmer_o2	2086	1917	1.0	441	1476	0.2300469483568075	0.4669811465688353	0.4341833854137861	0.4960873983739837	0.22768866206318564	0.21050047161074836	0.2518190832000883	0.059383915867273825	0.006667804219902216	2086
Missense	kmer_o4	2086	1917	1.0	441	1476	0.2300469483568075	0.47666288737717305	0.4449870643831155	0.5061073548660657	0.23223562536211667	0.21420607526868649	0.257113225145748	0.05830778275540297	0.007727568666101845	2086
Missense	kmer_o6	2086	1917	1.0	441	1476	0.2300469483568075	0.4661308064327808	0.43434099023529915	0.49713380835622417	0.2152999576538475	0.20079856039457117	0.23515083154916364	0.08003524072365868	0.00025309332928765283	2086
Missense	kmer_o8	2086	1917	1.0	441	1476	0.2300469483568075	0.46544408187846054	0.4332917765118694	0.4949398232644458	0.2191221397817098	0.20284564618886147	0.24074376887888446	0.09379133710481095	1.7819009312978584e-05	2086
Missense	phylop100way	2086	1917	1.0	441	1476	0.2300469483568075	0.7977119935598449	0.7737307310006207	0.820598664036527	0.5150690358484022	0.4761525061097257	0.5605192765276903	-0.4138107489278936	4.244129934628535e-87	2086
Missense	phylop_mammalian	2086	1917	1.0	441	1476	0.2300469483568075	0.7373078861174098	0.7140588608975659	0.7618209953358036	0.3888126374097558	0.36205992213274807	0.42272975340242736	-0.3588153125057775	2.0690695441750903e-64	2086
Missense	cadd	2086	1917	1.0	441	1476	0.2300469483568075	0.7560138328140651	0.7319089175869083	0.7777922189652737	0.44133705761400477	0.4083880500147458	0.4819556893184391	-0.3971001646055216	9.660438971425598e-80	2086
Missense	hyenadna-tiny-1k_full	2086	1917	1.0	441	1476	0.2300469483568075	0.4705983567772186	0.4393529656668449	0.5013818603322087	0.2229620521511468	0.20757721711833096	0.2456322355141062	0.08348616301013052	0.00013485303077282466	2086
Missense	hyenadna-small-32k_full	2086	1917	1.0	441	1476	0.2300469483568075	0.469390827695125	0.437510562038727	0.50073396567299	0.2211115828318504	0.20587863794235015	0.24253789908498052	0.0947116383964928	1.471641100670655e-05	2086
Missense	hyenadna-small-32k_site	2086	1917	1.0	441	1476	0.2300469483568075	0.45822809702019923	0.42891494447824297	0.4898416615968881	0.2158124998552649	0.2013452222324612	0.23608404916741615	0.12249404965675054	1.9950071953507456e-08	2086
Missense	nt-v2-50m	2086	1917	1.0	441	1476	0.2300469483568075	0.44206779369380994	0.41046452230395325	0.47121660091317463	0.20384046882877319	0.19154607831977924	0.22142787996187926	0.10691090405401416	9.879672445873592e-07	2086
Splice region	kmer_o2	446	414	1.0	102	312	0.2463768115942029	0.4782868275515334	0.41202080191050783	0.5479559451985923	0.25338539003931837	0.21737736776029024	0.3157843210368105	-0.0034357093435948474	0.9423199127428986	446
Splice region	kmer_o4	446	414	1.0	102	312	0.2463768115942029	0.4800936400201106	0.4146866358722976	0.5540786827551534	0.24759933343271723	0.21325013212556101	0.3041564178672505	0.03899213232564121	0.4113813650653575	446
Splice region	kmer_o6	446	414	1.0	102	312	0.2463768115942029	0.5079499748617395	0.4401992207139266	0.5742623491704374	0.2577529524524921	0.2219290792203219	0.32527322042660917	-0.015667034018293634	0.7414307034205035	446
Splice region	kmer_o8	446	414	1.0	102	312	0.2463768115942029	0.5272750125691302	0.45899164152840627	0.5944255907491202	0.262551255536888	0.2307490298506174	0.3166255173120608	-0.03645086252110525	0.4425524207444478	446
Splice region	phylop100way	446	414	1.0	102	312	0.2463768115942029	0.8124057315233786	0.7667817527652085	0.856999041603821	0.6414964677121364	0.5741340351374633	0.7170713465693925	-0.4095641401271138	1.8119992779828492e-19	446
Splice region	phylop_mammalian	446	414	1.0	102	312	0.2463768115942029	0.7871103569632981	0.7348204185520362	0.8331883955505279	0.5415571775873724	0.4636325522834976	0.6243088799706478	-0.3804173325714809	8.327460086743324e-17	446
Splice region	cadd	446	414	1.0	102	312	0.2463768115942029	0.7258672699849171	0.666005608974359	0.7758975144544997	0.4790873714860804	0.40874663195515726	0.568855194271528	-0.24122862353953067	2.516277917363307e-07	446
Splice region	hyenadna-tiny-1k_full	446	414	1.0	102	312	0.2463768115942029	0.4753016591251885	0.4032106271995978	0.541392502513826	0.242159093456998	0.21365981480681065	0.29176603466665674	0.025049683772131976	0.5977663917931854	446
Splice region	hyenadna-small-32k_full	446	414	1.0	102	312	0.2463768115942029	0.5158371040723981	0.4493526897938663	0.5787047511312218	0.26549602748250656	0.2277903279320162	0.3242980087202997	0.004290067337277826	0.9280115844091239	446
Splice region	hyenadna-small-32k_site	446	414	1.0	102	312	0.2463768115942029	0.5076671694318753	0.4434043489190548	0.572148378582202	0.26145756823317456	0.22516209126038164	0.327795409880594	0.019314128925203986	0.6841675133376581	446
Splice region	nt-v2-50m	446	414	1.0	102	312	0.2463768115942029	0.5006284565108094	0.4338706636500754	0.5683030103066867	0.24889635299970853	0.21833395392002258	0.30546822983664534	0.0034446739030090257	0.9421696746543363	446
