stratum	scorer	n	n_scored	coverage	n_pos	n_neg	prevalence	auroc	auroc_lo	auroc_hi	auprc	auprc_lo	auprc_hi	spearman_rho	spearman_p	n_spearman
overall	kmer_o2	3893	3644	1.0	823	2821	0.22585071350164654	0.4666907583851887	0.44502166639459395	0.49057057961832	0.21008075633624546	0.20066872306346145	0.2241782732441766	0.05509302780938809	0.0005839159328512279	3893
overall	kmer_o4	3893	3644	1.0	823	2821	0.22585071350164654	0.4613065177287339	0.4404387948311634	0.48440932719927743	0.210572550991857	0.20025153109437469	0.22568900989868115	0.0818960775787893	3.1080882667995114e-07	3893
overall	kmer_o6	3893	3644	1.0	823	2821	0.22585071350164654	0.4648072109758309	0.4419878704370924	0.4877609690900954	0.20553446367826103	0.1965482390628075	0.2183254278311435	0.07625283787997619	1.9062189493532656e-06	3893
overall	kmer_o8	3893	3644	1.0	823	2821	0.22585071350164654	0.46902182597710373	0.4468919960218514	0.4927104712400444	0.21215064852754179	0.20157028578266029	0.22753882576510065	0.07674981308250392	1.6327999081943989e-06	3893
overall	phylop100way	3893	3644	1.0	823	2821	0.22585071350164654	0.825632741420771	0.8086579433970961	0.8407274862675052	0.5494427731418271	0.5188549509929536	0.5833425331231803	-0.42492804143393015	1.666233023851962e-170	3893
overall	phylop_mammalian	3893	3644	1.0	823	2821	0.22585071350164654	0.7926738921721872	0.7743799702629516	0.8090084434438293	0.4710227770169906	0.4428389968095166	0.5011613095059927	-0.3969662999720528	4.181277667370557e-147	3893
overall	cadd	3893	3644	1.0	823	2821	0.22585071350164654	0.8167859264163109	0.8004503844840144	0.8312933602477168	0.6057188776439276	0.5780090120293184	0.6312212376388447	-0.4250328323687873	1.3482977916347144e-170	3893
overall	hyenadna-tiny-1k_full	3893	3644	1.0	823	2821	0.22585071350164654	0.452777144855693	0.42987159530392394	0.47513036878850384	0.20356740608051124	0.19410686003302718	0.21595935538895225	0.09555433675838945	2.3183697497452855e-09	3893
overall	hyenadna-small-32k_full	3893	3644	1.0	823	2821	0.22585071350164654	0.45230421207374133	0.42958052412840175	0.47414699810439237	0.20230682353482898	0.193261562309188	0.21442400162955638	0.10576828271311657	3.6969509677215304e-11	3893
overall	hyenadna-small-32k_site	3893	3644	1.0	823	2821	0.22585071350164654	0.43531782762763044	0.41380814047395786	0.45740868800779433	0.19499158709692843	0.18740446793497728	0.2060487596012386	0.14624678246443717	4.672265256429756e-20	3893
overall	nt-v2-50m	3893	3644	1.0	823	2821	0.22585071350164654	0.44558150272883945	0.4256790871105142	0.4663701504468956	0.19889471022470384	0.19096188159130736	0.21066737869130578	0.09655183752675449	1.5757173035345769e-09	3893
